DUID,Cat,Batt Load,NEM Tech Type,NEM Fuel Type
ADPBA1,battery,,Storage - Battery,Other - Other
ADPBA1G,battery,,,
ADPBA1L,battery,y,,
ADPPV1,solar,,Solar PV - Fixed,Solar - Solar
AGLHAL,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
AGLSOM,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
ANGAST1,fossil,,Reciprocating Engine - Compression ignition,Fossil - Diesel
ARWF1,wind,,Wind Turbine - Onshore,Wind - Wind
AVLSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BALB1,battery,,Storage - Battery,Other - Other
BALBG1,battery,,,
BALBL1,battery,y,,
BALDHWF1,wind,,Wind Turbine - Onshore,Wind - Wind
BANGOWF1,wind,,Wind Turbine - Onshore,Wind - Wind
BANGOWF2,wind,,Wind Turbine - Onshore,Wind - Wind
BANN1,solar,,Solar PV - Single axis tracking,Solar - Solar
BARCALDN,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BARCSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BARKIPS1,fossil,,Reciprocating Engine - Spark ignition,Fossil - Natural Gas Pipeline
BARRON-1,hydro,,Hydro - Run of River,Hydro - Water
BARRON-2,hydro,,Hydro - Run of River,Hydro - Water
BASTYAN,hydro,,Hydro - Dam,Hydro - Water
BBATRYL1,battery,y,,
BBATTERY,battery,,Storage - Battery,Other - Other
BBATTERY1,battery,,,
BBTHREE1,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BBTHREE2,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BDL01,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BDL02,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BERYLSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BHB1,battery,,,
BHBG1,battery,,Storage - Battery,Other - Other
BHBL1,battery,y,,
BLOWERNG,hydro,,Hydro - Dam,Hydro - Water
BLUEGSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BLUFF1,wind,,Wind Turbine - Onshore,Wind - Wind
BLYTHB1,battery,,Storage - Battery,Other - Other
BNGSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BNGSF2,solar,,Solar PV - Single axis tracking,Solar - Solar
BOCORWF1,wind,,Wind Turbine - Onshore,Wind - Wind
BODWF1,wind,,Wind Turbine - Onshore,Wind - Wind
BOLIVPS1,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
BOMENSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
BOWWBA1,battery,,Storage - Battery,Other - Other
BOWWBA1G,battery,,,
BOWWBA1L,battery,y,,
BOWWPV1,solar,,Solar PV - Fixed,Solar - Solar
BRAEMAR1,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BRAEMAR2,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BRAEMAR3,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BRAEMAR5,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BRAEMAR6,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BRAEMAR7,fossil,,Turbine - OCGT,Fossil - Coal Seam Methane
BROKENH1,solar,,Solar PV - Fixed,Solar - Solar
BRYB1WF1,wind,,Wind Turbine - Onshore,Wind - Wind
BRYB2WF2,wind,,Wind Turbine - Onshore,Wind - Wind
BULBES1,battery,,Storage - Battery,Other - Other
BULBESG1,battery,,,
BULBESL1,battery,y,,
BULGANA1,wind,,Wind Turbine - Onshore,Wind - Wind
BUTLERSG,hydro,,Hydro - Dam,Hydro - Water
BW01,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
BW02,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
BW03,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
BW04,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
BWTR1,renewable,,Turbine - Steam Sub Critical,Renewable Biomass or Waste - Biomass
CALL_B_1,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
CALL_B_2,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
CAPBES1,battery,,Storage - Battery,Other - Other
CAPBES1G,battery,,,
CAPBES1L,battery,y,,
CAPTL_WF,wind,,Wind Turbine - Onshore,Wind - Wind
CATHROCK,wind,,Wind Turbine - Onshore,Wind - Wind
CBWWBA1,battery,,Storage - Battery,Other - Other
CBWWBA1G,battery,,,
CBWWBA1L,battery,y,,
CETHANA,hydro,,Hydro - Dam,Hydro - Water
CG1,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
CG2,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
CG3,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
CG4,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
CHALLHWF,wind,,Wind Turbine - Onshore,Wind - Wind
CHBESS1,battery,,,
CHBESSG1,battery,,Storage - Battery,Other - Other
CHBESSL1,battery,y,,
CHILDSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
CHYTWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CLARESF1,solar,,Solar PV - Single axis tracking,Solar - Solar
CLEMGPWF,wind,,Wind Turbine - Onshore,Wind - Wind
CLERMSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
CLOVER,hydro,,Hydro - Dam,Hydro - Water
CLRKCWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CLUNY,hydro,,Hydro - Dam,Hydro - Water
CNUNDAWF,wind,,Wind Turbine - Onshore,Wind - Wind
COHUNSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
COLEASF1,solar,,Solar PV - Single axis tracking,Solar - Solar
COLUMSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
COLWF01,wind,,Wind Turbine - Onshore,Wind - Wind
CONDONG1,renewable,,Turbine - Steam Sub Critical,Renewable Biomass or Waste - Bagasse
COOPGWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CPP_3,fossil,,Turbine - Steam Super Critical,Fossil - Black Coal
CPP_4,fossil,,Turbine - Steam Super Critical,Fossil - Black Coal
CPSA,fossil,,Turbine - CCGT,Fossil - Coal Seam Methane
CROOKWF2,wind,,Wind Turbine - Onshore,Wind - Wind
CROOKWF3,wind,,Wind Turbine - Onshore,Wind - Wind
CROWLWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CRURWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CRWASF1,solar,,Solar PV - Single axis tracking,Solar - Solar
CSPVPS1,solar,,Solar PV - Fixed,Solar - Solar
CTHLWF1,wind,,Wind Turbine - Onshore,Wind - Wind
CULLRGWF,wind,,Wind Turbine - Onshore,Wind - Wind
DALNTH01,battery,,,
DALNTH1,battery,,Storage - Battery,Other - Other
DALNTHL1,battery,y,,
DARLSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
DARTM1,hydro,,Hydro - Dam,Hydro - Water
DAYDSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
DDPS1,fossil,,Turbine - CCGT,Fossil - Coal Seam Methane
DDSF1,solar,,Solar PV - Fixed,Solar - Solar
DEVILS_G,hydro,,Hydro - Dam,Hydro - Water
DIAPURWF1,wind,,Wind Turbine - Onshore,Wind - Wind
DPNTB1,battery,,Storage - Battery,Other - Other
DPNTBG1,battery,,,
DPNTBL1,battery,y,,
DRYCGT1,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
DRYCGT2,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
DRYCGT3,fossil,,Turbine - OCGT,Fossil - Natural Gas Pipeline
DULAWF1,wind,,Wind Turbine - Onshore,Wind - Wind
DUNDWF1,wind,,Wind Turbine - Onshore,Wind - Wind
DUNDWF2,wind,,Wind Turbine - Onshore,Wind - Wind
DUNDWF3,wind,,Wind Turbine - Onshore,Wind - Wind
EDENVSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
EILDON1,hydro,,Hydro - Dam,Hydro - Water
EILDON2,hydro,,Hydro - Dam,Hydro - Water
ELAINWF1,wind,,Wind Turbine - Onshore,Wind - Wind
EMERASF1,solar,,Solar PV - Single axis tracking,Solar - Solar
ER01,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
ER02,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
ER03,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
ER04,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
ERGT01,fossil,,Turbine - OCGT,Fossil - Diesel
FINLYSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
FISHER,hydro,,Hydro - Dam,Hydro - Water
FLYCRKWF,wind,,Wind Turbine - Onshore,Wind - Wind
GANGARR1,solar,,Solar PV - Single axis tracking,Solar - Solar
GANNB1,battery,,Storage - Battery,Other - Other
GANNBG1,battery,,,
GANNBL1,battery,y,,
GANNSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GB01,fossil,,Turbine - OCGT,Fossil - Diesel
GERMCRK,fossil,,Reciprocating Engine - Spark ignition,Fossil - Waste Coal Mine Gas
GIRGSF,solar,,Solar PV - Single axis tracking,Solar - Solar
GLENSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GLRWNSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GNNDHSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GOONSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GORDON,hydro,,Hydro - Dam,Hydro - Water
GPWFEST1,wind,,Wind Turbine - Onshore,Wind - Wind
GPWFEST2,wind,,Wind Turbine - Onshore,Wind - Wind
GRANWF1,wind,,Wind Turbine - Onshore,Wind - Wind
GRIFSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
GSTONE1,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSTONE2,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSTONE3,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSTONE4,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSTONE5,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSTONE6,fossil,,Turbine - Steam Sub Critical,Fossil - Black Coal
GSWF1A,wind,,Wind Turbine - Onshore,Wind - Wind
GSWF1B1,wind,,Wind Turbine - Onshore,Wind - Wind
GULLRSF1,solar,,Solar PV - Fixed,Solar - Solar
GULLRWF1,wind,,Wind Turbine - Onshore,Wind - Wind
GULLRWF2,wind,,Wind Turbine - Onshore,Wind - Wind
GUNNING1,wind,,Wind Turbine - Onshore,Wind - Wind
GUTHEGA,hydro,,Hydro - Dam,Hydro - Water
HALLWF1,wind,,Wind Turbine - Onshore,Wind - Wind
HALLWF2,wind,,Wind Turbine - Onshore,Wind - Wind
HAMISF1,solar,,Solar PV - Single axis tracking,Solar - Solar
HAUGHT11,solar,,Solar PV - Single axis tracking,Solar - Solar
HAYMSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
HBESS1,battery,,Storage - Battery,Other - Other
HBESSG1,battery,,,
HBESSL1,battery,y,,
HD1WF1,wind,,Wind Turbine - Onshore,Wind - Wind
HDWF1,wind,,Wind Turbine - Onshore,Wind - Wind
HDWF2,wind,,Wind Turbine - Onshore,Wind - Wind
HDWF3,wind,,Wind Turbine - Onshore,Wind - Wind
HEZ1,fossil,,Reciprocating Engine - Compression ignition,Fossil - Diesel
HILLSTN1,solar,,Solar PV - Single axis tracking,Solar - Solar
HPR1,battery,,Storage - Battery,Other - Other
HPRG1,battery,,,
HPRL1,battery,y,,
HUGSF1,solar,,Solar PV - Single axis tracking,Solar - Solar
HUMENSW,hydro,,Hydro - Dam,Hydro - Water
HUMEV,hydro,,Hydro - Dam,Hydro - Water
HVWWBA1,battery,,Storage - Battery,Other - Other
HVWWBA1G,battery,,,
HVWWBA1L,battery,y,,
HVWWPV1,solar,,Solar PV - Single axis tracking,Solar - Solar
JBUTTERS,hydro,,Hydro - Dam,Hydro - Water
